price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,lat,long
221900,3,1,1180,5650,1,0,0,3,7,1180,0,1955,47.5112,-122.257
538000,3,2.25,2570,7242,2,0,0,3,7,2170,400,1951,47.721,-122.319
180000,2,1,770,10000,1,0,0,3,6,770,0,1933,47.7379,-122.233
604000,4,3,1960,5000,1,0,0,5,7,1050,910,1965,47.5208,-122.393
510000,3,2,1680,8080,1,0,0,3,8,1680,0,1987,47.6168,-122.045
1.23E+06,4,4.5,5420,101930,1,0,0,3,11,3890,1530,2001,47.6561,-122.005
257500,3,2.25,1715,6819,2,0,0,3,7,1715,0,1995,47.3097,-122.327
291850,3,1.5,1060,9711,1,0,0,3,7,1060,0,1963,47.4095,-122.315
229500,3,1,1780,7470,1,0,0,3,7,1050,730,1960,47.5123,-122.337
323000,3,2.5,1890,6560,2,0,0,3,7,1890,0,2003,47.3684,-122.031
662500,3,2.5,3560,9796,1,0,0,3,8,1860,1700,1965,47.6007,-122.145
468000,2,1,1160,6000,1,0,0,4,7,860,300,1942,47.69,-122.292
310000,3,1,1430,19901,1.5,0,0,4,7,1430,0,1927,47.7558,-122.229
400000,3,1.75,1370,9680,1,0,0,4,7,1370,0,1977,47.6127,-122.045
530000,5,2,1810,4850,1.5,0,0,3,7,1810,0,1900,47.67,-122.394
650000,4,3,2950,5000,2,0,3,3,9,1980,970,1979,47.5714,-122.375
395000,3,2,1890,14040,2,0,0,3,7,1890,0,1994,47.7277,-121.962
485000,4,1,1600,4300,1.5,0,0,4,7,1600,0,1916,47.6648,-122.343
189000,2,1,1200,9850,1,0,0,4,7,1200,0,1921,47.3089,-122.21
230000,3,1,1250,9774,1,0,0,4,7,1250,0,1969,47.3343,-122.306
385000,4,1.75,1620,4980,1,0,0,4,7,860,760,1947,47.7025,-122.341
2.00E+06,3,2.75,3050,44867,1,0,4,3,9,2330,720,1968,47.5316,-122.233
285000,5,2.5,2270,6300,2,0,0,3,8,2270,0,1995,47.3266,-122.169
252700,2,1.5,1070,9643,1,0,0,3,7,1070,0,1985,47.3533,-122.166
329000,3,2.25,2450,6500,2,0,0,4,8,2450,0,1985,47.3739,-122.172
233000,3,2,1710,4697,1.5,0,0,5,6,1710,0,1941,47.3048,-122.218
937000,3,1.75,2450,2691,2,0,0,3,8,1750,700,1915,47.6386,-122.36
667000,3,1,1400,1581,1.5,0,0,5,8,1400,0,1909,47.6221,-122.314
438000,3,1.75,1520,6380,1,0,0,3,7,790,730,1948,47.695,-122.304
719000,4,2.5,2570,7173,2,0,0,3,8,2570,0,2005,47.7073,-122.11
580500,3,2.5,2320,3980,2,0,0,3,8,2320,0,2003,47.5391,-122.07
280000,2,1.5,1190,1265,3,0,0,3,7,1190,0,2005,47.7274,-122.357
687500,4,1.75,2330,5000,1.5,0,0,4,7,1510,820,1929,47.6823,-122.368
535000,3,1,1090,3000,1.5,0,0,4,8,1090,0,1929,47.6889,-122.375
322500,4,2.75,2060,6659,1,0,0,3,7,1280,780,1981,47.4276,-122.157
696000,3,2.5,2300,3060,1.5,0,0,3,8,1510,790,1930,47.6827,-122.31
550000,4,1,1660,34848,1,0,0,1,5,930,730,1933,47.6621,-122.132
640000,4,2,2360,6000,2,0,0,4,8,2360,0,1904,47.6702,-122.362
240000,4,1,1220,8075,1,0,0,2,7,890,330,1969,47.3341,-122.282
605000,4,2.5,2620,7553,2,0,0,3,8,2620,0,1996,47.5301,-122.18
625000,4,2.5,2570,5520,2,0,0,3,9,2570,0,2000,47.6145,-122.027
775000,4,2.25,4220,24186,1,0,0,3,8,2600,1620,1984,47.445,-122.347
861990,5,2.75,3595,5639,2,0,0,3,9,3595,0,2014,47.6848,-122.016
685000,3,1,1570,2280,2,0,0,3,7,1570,0,1922,47.6413,-122.364
309000,3,1,1280,9656,1,0,0,4,6,920,360,1959,47.4485,-122.175
488000,3,2.5,3160,13603,2,0,0,3,8,3160,0,2003,47.7443,-121.977
210490,3,1,990,8528,1,0,0,3,6,990,0,1966,47.3066,-122.371
785000,4,2.5,2290,13416,2,0,0,4,9,2290,0,1981,47.6194,-122.151
450000,3,1.75,1250,5963,1,0,0,4,7,1250,0,1953,47.6796,-122.301
